Date,Open,High,Low,Close,Adj Close,Volume
2024-04-05,68520.15625,68658.070313,66572.023438,66886.757813,66886.757813,36221796352.0
2024-04-05 11:08:06,68520.15625,68658.070313,66572.023438,61751.5,66886.757813,36221796352.0
2024-04-05 11:08:17,68520.15625,68658.070313,66572.023438,61722.9,66886.757813,36221796352.0
2024-04-05 11:08:30,68520.15625,68658.070313,66572.023438,61675.1,66886.757813,36221796352.0
2024-04-05 11:08:42,68520.15625,68658.070313,66572.023438,61661.2,66886.757813,36221796352.0
2024-04-05 11:08:55,68520.15625,68658.070313,66572.023438,61661.2,66886.757813,36221796352.0
2024-04-05 11:09:10,68520.15625,68658.070313,66572.023438,61681.3,66886.757813,36221796352.0
2024-04-05 11:09:26,68520.15625,68658.070313,66572.023438,61667.2,66886.757813,36221796352.0
2024-04-05 11:09:39,68520.15625,68658.070313,66572.023438,61661.2,66886.757813,36221796352.0
2024-04-05 11:09:52,68520.15625,68658.070313,66572.023438,61662.2,66886.757813,36221796352.0
2024-04-05 11:10:05,68520.15625,68658.070313,66572.023438,61725.3,66886.757813,36221796352.0
2024-04-05 11:10:22,68520.15625,68658.070313,66572.023438,61707.8,66886.757813,36221796352.0
2024-04-05 11:10:39,68520.15625,68658.070313,66572.023438,61707.8,66886.757813,36221796352.0
2024-04-05 11:10:49,68520.15625,68658.070313,66572.023438,61725.0,66886.757813,36221796352.0
2024-04-05 11:11:00,68520.15625,68658.070313,66572.023438,61728.2,66886.757813,36221796352.0
2024-04-05 11:11:09,68520.15625,68658.070313,66572.023438,61719.0,66886.757813,36221796352.0
2024-04-05 11:11:21,68520.15625,68658.070313,66572.023438,61734.6,66886.757813,36221796352.0
2024-04-05 11:11:32,68520.15625,68658.070313,66572.023438,61769.6,66886.757813,36221796352.0
2024-04-05 11:11:44,68520.15625,68658.070313,66572.023438,61798.1,66886.757813,36221796352.0
2024-04-05 11:11:57,68520.15625,68658.070313,66572.023438,61798.1,66886.757813,36221796352.0
2024-04-05 11:12:10,68520.15625,68658.070313,66572.023438,61800.1,66886.757813,36221796352.0
2024-04-05 11:12:24,68520.15625,68658.070313,66572.023438,61800.2,66886.757813,36221796352.0
2024-04-05 11:12:38,68520.15625,68658.070313,66572.023438,61799.8,66886.757813,36221796352.0
2024-04-05 11:12:55,68520.15625,68658.070313,66572.023438,61827.9,66886.757813,36221796352.0
2024-04-05 11:13:10,68520.15625,68658.070313,66572.023438,61806.3,66886.757813,36221796352.0
2024-04-05 11:13:24,68520.15625,68658.070313,66572.023438,61817.4,66886.757813,36221796352.0
2024-04-05 11:13:38,68520.15625,68658.070313,66572.023438,61831.9,66886.757813,36221796352.0
2024-04-05 11:13:51,68520.15625,68658.070313,66572.023438,61831.0,66886.757813,36221796352.0
2024-04-05 11:14:03,68520.15625,68658.070313,66572.023438,61824.0,66886.757813,36221796352.0
2024-04-05 11:14:16,68520.15625,68658.070313,66572.023438,61838.1,66886.757813,36221796352.0
2024-04-05 11:14:34,68520.15625,68658.070313,66572.023438,61814.2,66886.757813,36221796352.0
2024-04-05 11:14:51,68520.15625,68658.070313,66572.023438,61832.3,66886.757813,36221796352.0
2024-04-05 11:15:05,68520.15625,68658.070313,66572.023438,61820.6,66886.757813,36221796352.0
